time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.4223161781e-09,-3.38676322291e-09,0.00425139436002,6.28318110367,1.02077344062e-05,0.0,-8.35245370873e-07,-3.39875286513e-07,0.14170534123,-0.000210557943713,0.00050826495627,0.0,449.961138019,450.002271398,449.902864297,449.885820754
0.12000000000000001,-4.15265996785e-07,-1.20774705943e-07,0.017004851755,3.58602041697e-05,5.20340718575e-05,0.0,-1.66407394663e-05,-2.02934488894e-06,0.283384654916,0.00236900028889,0.00107216969745,0.0,449.874046874,449.919680783,449.927484091,450.136229439
0.18,-2.76864825802e-06,1.09290864508e-06,0.0382567077077,0.000142965300217,5.26095549374e-05,0.0,-6.54101443156e-05,5.59917386516e-05,0.424967874519,0.00059081312078,-0.00220527144608,0.0,450.171266255,449.906030169,450.044057803,449.900093718
0.23999999999999996,-7.51875984546e-06,7.73007687239e-06,0.067994480287,0.000182487849906,0.000121272548164,0.0,-9.02660026015e-05,0.000169291482971,0.566231260736,0.000794168457647,0.00711957190116,0.0,449.634730945,450.389405978,450.006666629,450.023109876
0.3,-1.75125200523e-05,2.21259492792e-05,0.106188055461,0.000289852497522,0.000736923236088,0.0,-0.000299856867381,0.000319004121415,0.706810987648,0.00370923243613,0.0159008246259,0.0,449.647967618,450.358566028,449.76926505,450.005221698
0.36000000000000004,-5.56053318509e-05,4.84716525939e-05,0.152805063923,0.000467485088229,0.00182041647572,0.0,-0.00108013806812,0.000580803321039,0.846995348007,0.00141936696418,0.0220569250309,0.0,449.842166222,450.340254883,450.003737593,449.818306909
0.4200000000000001,-0.000165567390236,9.37902270168e-05,0.207807270113,0.000409977017997,0.00319402551668,0.0,-0.00273048849592,0.000931776112483,0.986301000522,-0.00619808853203,0.0245160272302,0.0,449.922502597,450.121560088,450.172496827,449.555791867
0.48000000000000015,-0.000404989284128,0.000157072434998,0.271135768879,6.28312757636,0.00466109816271,0.0,-0.00540795650037,0.00113261825894,1.12452232884,-0.0111975827141,0.0243212781304,0.0,449.81972042,449.804027611,450.102025289,449.697397876
0.5400000000000001,-0.000836905749964,0.0002209708836,0.342737806276,6.28228884252,0.00611157763898,0.0,-0.00914504187515,0.000916850779069,1.26206943788,-0.0202196375912,0.0238798297245,0.0,449.948794603,449.913126776,450.290472037,449.56021891
0.6000000000000002,-0.00152439512123,0.000251498322176,0.422558680959,6.28087934637,0.00761101463649,0.0,-0.0139278001756,-3.88660351002e-05,1.39846804866,-0.0310038334443,0.0271241949351,0.0,449.846489808,450.109194058,450.233776456,449.360442471
0.6600000000000003,-0.00253196064272,0.000191528207491,0.51052080153,6.27883205811,0.00934676263932,0.0,-0.0198368185016,-0.00216812682516,1.53342908011,-0.0412260754848,0.0323139928598,0.0,449.670596792,450.091003789,450.113015131,449.284577921
0.7200000000000003,-0.00393264690826,-4.29539535846e-05,0.606546946914,6.27615086412,0.0113573117029,0.0,-0.0270623254598,-0.00592164019731,1.6672531142,-0.0527028189783,0.035797847357,0.0,449.811032819,450.093483101,450.146637381,449.215877944
0.7800000000000004,-0.00581087039947,-0.00056331484963,0.710573951934,6.2727354181,0.0134666519541,0.0,-0.0357702738337,-0.011771750774,1.80010814936,-0.0670867981915,0.0338396508479,0.0,450.068762158,449.910774361,450.450879835,449.284013541
0.8400000000000004,-0.0082560855617,-0.00151151314596,0.822520383377,6.26847356817,0.0154794915077,0.0,-0.0459494869422,-0.0202725381846,1.93121867996,-0.0803885417843,0.0329562946675,0.0,449.994006829,449.922933472,450.251552238,449.170295046
0.9000000000000005,-0.0113547507496,-0.00306446656798,0.942298353551,6.26342674822,0.0173682274756,0.0,-0.0575417359402,-0.0320127815539,2.06114267428,-0.0928531439916,0.0283477975968,0.0,450.205530112,449.8328543,450.379744955,449.364752706
0.9600000000000005,-0.0151880531056,-0.00543294475139,1.06983704313,6.25771396589,0.0190320836431,0.0,-0.0704096589255,-0.0475303484559,2.18989216978,-0.10040416739,0.026467957623,0.0,450.259408678,450.107492623,450.317347693,449.698524706
1.0200000000000005,-0.0198279535426,-0.00885612435908,1.20505544386,6.25157064411,0.0204386692729,0.0,-0.08440860468,-0.0672134798393,2.31711640428,-0.10668283275,0.0165792186978,0.0,450.76670911,449.966965619,450.237365426,449.720134187
1.0800000000000005,-0.025334187031,-0.0135913109771,1.3478292841,6.24507424068,0.0213181014598,0.0,-0.0992266685798,-0.0912983733756,2.44172661138,-0.111657869352,0.0105059465784,0.0,450.529616719,450.038214446,449.815635562,449.402390311
1.1400000000000006,-0.0317462138521,-0.0199104131692,1.49804118259,6.23839409474,0.0218166997433,0.0,-0.114561953692,-0.120032906293,2.56503535782,-0.110699782821,0.00351007212593,0.0,450.633849076,450.067886079,449.925809402,449.992551246
1.2000000000000006,-0.0390859707449,-0.0280929006831,1.65557853842,6.23186264923,0.0219432088821,0.0,-0.13010868408,-0.153395561991,2.68589658146,-0.105409070627,-0.000853585656038,0.0,450.389259618,450.036160255,449.659107514,450.077193138
1.2600000000000007,-0.0473587328904,-0.0384113507247,1.82029145942,6.22561818347,0.021788525092,0.0,-0.145633584737,-0.191195508276,2.80421084475,-0.101532534531,-0.00627192408152,0.0,450.189229261,449.750651257,449.713627116,450.018210387
